SetPoint,Timestamp,Reference temperature,DUT temperature
20,19.01.2021 15:36:24,20.26,19.9375
20,19.01.2021 15:36:28,20.25,19.875
20,19.01.2021 15:36:28,20.25,19.875
20,19.01.2021 15:36:32,20.25,19.875
20,19.01.2021 15:36:36,20.25,19.875
20,19.01.2021 15:36:36,20.25,19.875
20,19.01.2021 15:36:39,20.25,19.875
30,19.01.2021 15:57:39,30.27,29.6875
30,19.01.2021 15:57:43,30.27,29.6875
30,19.01.2021 15:57:43,30.27,29.6875
30,19.01.2021 15:57:46,30.27,29.6875
30,19.01.2021 15:57:46,30.27,29.6875
30,19.01.2021 15:57:50,30.27,29.6875
30,19.01.2021 15:57:50,30.27,29.6875
